sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
14064 13680 3.883593 -3.373602 20.600761 0.881441 -0.409732 0.048629 38.637393 38.407215 -97.275825 25.046485
14160 13680 2.767838 0.392669 15.364376 -0.666412 -0.420385 0.251032 35.432449 34.119895 -99.003639 25.043489
14112 13680 2.609813 -0.763789 13.444128 -0.261605 -0.286160 -0.188929 27.954242 41.622703 -91.401260 25.028514
13856 13680 2.320100 -1.137304 7.151845 -0.171056 0.138887 0.198833 24.037088 45.195465 -87.600074 25.028514
13840 13680 2.181229 -0.368726 3.603457 -0.142294 0.442492 0.242510 33.473869 48.232315 -86.390609 25.031509
13872 13680 2.506857 -0.876322 5.796658 -0.026178 0.034490 0.277664 43.444808 49.661422 -82.589424 25.034503
13920 13680 3.126987 -0.981673 11.021073 -0.246691 -0.382035 0.499242 49.498596 47.875038 -81.552734 25.019527
13888 13680 3.790215 -0.928998 13.784122 0.309385 -0.726121 0.648382 53.059646 45.731380 -84.662796 25.022523
14016 13680 2.755867 0.787732 9.601239 -0.158273 -0.065647 0.876352 57.689010 35.370365 -93.992980 25.028514
13872 13680 2.827696 0.493231 10.432069 0.337083 -0.289356 0.449174 63.564743 29.832580 -91.746826 25.019527
14016 13680 2.437422 0.770972 11.095296 0.071828 -0.173240 0.339450 60.181743 7.145528 -97.103042 25.013538
14064 13680 2.305734 -0.754212 13.396242 0.313647 -0.274442 -0.070683 56.798748 7.681443 -100.385887 25.016532
14128 13680 2.875583 -0.955335 15.879156 0.362650 -0.293617 0.226531 49.498596 0.357276 -101.595352 25.007547
14032 13680 2.231510 -0.272953 10.858259 -0.267997 -0.219047 -0.030202 43.978965 -4.108679 -101.768135 25.001556
13920 13680 2.746289 -1.278569 12.742591 0.146398 -0.265919 0.160483 37.391025 -1.071829 -102.632041 25.013538
13808 13680 2.789387 -0.043098 9.148712 0.220967 -0.024101 0.273403 28.844505 0.357276 -100.904228 24.992572
13760 13680 2.130948 1.041531 3.493318 0.935770 0.521323 0.059282 30.981134 -8.574634 -99.521980 24.992572
13664 13680 2.281790 0.988856 1.673632 0.005780 0.442492 -0.377484 41.664283 -21.079307 -85.353919 24.995567
13776 13680 2.655305 -0.244221 9.776024 0.192205 -0.226504 -0.562842 55.908485 -19.650201 -79.824920 24.998561
14016 13680 2.626573 -0.366332 13.930175 0.109113 -0.448082 -0.276282 60.893955 -17.506544 -80.516044 24.998561
14080 13680 3.292195 -0.160420 16.542383 0.115504 -0.442756 -0.368961 58.757324 -12.504674 -86.390609 24.989576
14160 13680 2.221932 -0.433373 17.392368 0.171964 -0.486432 -0.523427 59.469535 -8.217358 -90.191795 24.986581
14080 13680 2.066301 -0.277742 12.486398 -0.216863 -0.382035 -0.454184 56.620693 -6.073699 -95.029670 24.983587
14080 13680 1.494058 -0.627313 9.948415 -1.190530 0.082427 -0.371092 55.018222 9.110548 -102.113700 24.974601
14128 13680 1.333638 -1.553916 7.223675 0.048392 0.066448 -0.211300 57.332904 26.795730 -98.485290 24.992572
14224 13680 1.922642 -0.581821 11.059382 -0.218994 -0.192415 0.075261 55.908485 28.224836 -98.139732 24.974601
14240 13680 1.711941 -0.897871 14.215101 -0.183839 -0.288290 -0.073879 49.320541 31.618961 -98.658073 24.968610
14160 13680 2.277002 -0.644073 13.113712 0.023890 -0.252071 -0.038724 41.486232 33.048069 -100.385887 24.992572
13984 13680 1.606591 -0.577032 4.285840 0.108047 0.506409 -0.140991 42.198444 32.333515 -100.731445 24.950639
13952 13680 1.563493 -0.665622 5.569197 0.159181 0.110125 -0.149513 51.457172 31.618961 -100.040321 24.959625
14128 13680 2.255453 -0.462104 13.626096 -0.022982 -0.302139 -0.023810 47.718070 28.582113 -101.249794 24.941654
14144 13680 2.027992 -0.023943 9.471945 -0.140163 0.041947 -0.103706 44.157020 30.011219 -101.940917 24.968610
14080 13680 1.824475 -0.244221 9.967570 -0.018721 -0.042210 -0.186798 43.088703 31.083047 -101.249794 24.956630
14048 13680 2.051935 -0.749423 12.124855 -0.007003 -0.134890 -0.133534 37.747131 30.725770 -101.940917 24.962619
14048 13680 2.260241 -0.203518 11.399375 -0.000611 -0.134890 -0.128208 35.076343 30.904409 -101.422569 24.947643
13888 13680 1.915459 -0.124505 6.215664 -0.148685 0.408403 -0.211300 31.337240 30.725770 -100.558670 24.935663
13936 13680 1.726307 -0.596187 5.588352 -0.607821 0.321050 -0.283739 37.925182 36.263557 -99.349197 24.953634
14064 13680 1.903487 -1.118149 8.768013 -0.129510 -0.095474 -0.063226 36.678813 40.372234 -96.411918 24.938659
14144 13680 2.439816 -1.197162 16.954206 -0.236038 -0.442756 0.178593 32.405555 43.944999 -90.537353 24.941654
14176 13680 2.133342 -0.624918 13.195118 -0.162534 -0.328771 0.174332 30.981134 47.875038 -87.427291 24.929672
14016 13680 2.715163 -1.003222 12.888645 0.329626 -0.399079 0.314949 28.666452 48.768230 -85.872261 24.914697
13968 13680 2.736712 -0.129293 10.317141 -0.050679 -0.241418 0.195637 30.446977 46.267295 -85.526702 24.929672
13776 13680 2.590658 -0.304079 7.305082 0.246534 0.090950 0.253163 34.542186 48.589591 -87.081733 24.926677
13744 13680 2.643333 -0.457316 6.086371 0.349866 0.160193 0.287252 43.266757 48.410953 -86.217826 24.902717
13808 13680 3.079100 0.155631 7.848593 -0.063463 0.024902 0.596183 50.744960 38.764492 -93.820198 24.917692
13840 13680 3.579514 -0.241827 10.197425 -0.279715 -0.308531 0.337320 55.730430 37.335384 -92.092384 24.902717
13712 13680 3.136564 -0.067041 9.917289 1.068930 -0.041145 0.391649 55.196273 26.081178 -100.904228 24.908706
13776 13680 3.031214 1.249837 8.159855 0.222032 0.049404 0.176462 56.798748 4.465955 -99.349197 24.899721
13776 13680 2.827696 0.679988 9.711378 -0.048549 0.069644 -0.388136 58.579273 6.252337 -97.275825 24.905712
13856 13680 2.566715 -0.055069 10.281227 0.169834 -0.066712 -0.266694 59.647586 9.110548 -98.312507 24.878755
13952 13680 2.150103 0.332811 8.576468 -0.135902 0.184694 -0.102641 59.825641 10.718293 -98.485290 24.902717
13968 13680 1.948979 -0.287319 9.043361 0.008976 -0.024101 -0.238997 64.455001 14.648333 -96.411918 24.902717
14096 13680 2.384746 -0.660833 12.321190 -0.096486 -0.117845 -0.162297 61.428112 14.826972 -97.275825 24.875759
14128 13680 1.829263 -0.586609 12.266120 -0.125249 -0.244614 -0.221953 58.045116 21.079307 -99.521980 24.887741
14224 13680 2.099822 -1.101389 13.008361 -0.015525 -0.320249 -0.234736 51.991329 24.294795 -102.286476 24.884746
14064 13680 2.526011 -1.060685 13.037093 -0.227516 -0.273376 -0.031267 41.486232 28.046197 -103.495948 24.872764
14016 13680 2.224327 -0.275347 10.082497 -0.007003 -0.052863 -0.033398 37.034919 32.869430 -101.595352 24.854793
13760 13680 2.114188 -0.107745 4.506117 0.294472 0.368988 -0.111163 37.569076 29.118026 -102.459259 24.872764
13792 13680 2.327283 0.181969 4.846111 0.105917 0.403077 -0.078140 48.430278 23.222967 -101.940917 24.860784
13872 13680 2.475731 0.098167 8.006619 -0.056006 0.085623 -0.134600 53.415748 22.151138 -101.249794 24.872764
13888 13680 2.403901 0.100562 9.436030 -0.521533 0.053665 -0.316763 53.415748 30.011219 -97.448608 24.854793
14064 13680 2.408690 -1.783771 12.201474 0.040935 -0.127433 -0.149513 48.786384 37.514022 -94.338539 24.839817
14144 13680 2.114188 -0.536328 10.784034 -0.165730 -0.127433 0.221204 47.540016 36.978107 -94.856887 24.842813
14096 13680 2.763050 -0.718297 14.818470 -0.129510 -0.547153 -0.122881 44.157020 41.086788 -95.029670 24.839817
14160 13680 3.340081 -0.665622 15.929436 -0.108205 -0.578047 0.271272 32.761661 43.230445 -92.956291 24.848804
13840 13680 2.700797 -0.057464 9.495888 -0.160403 -0.172175 0.303231 33.829975 45.016826 -90.191795 24.830833
13760 13680 2.552349 -0.430978 5.032868 -0.067724 0.168715 0.293643 38.281288 48.410953 -86.563385 24.839817
13744 13680 2.873188 -0.732663 6.110314 0.875049 0.145279 0.516287 46.471702 43.766361 -89.673446 24.824842
13776 13680 3.261069 0.483653 8.322669 0.171964 0.029163 0.797521 57.867061 25.187986 -98.312507 24.833827
13840 13680 3.076706 0.806887 9.383355 0.419109 0.078166 0.366082 60.537849 17.863821 -96.757476 24.812862
13904 13680 2.444604 0.943364 8.382528 0.771717 0.070709 0.029454 62.674480 2.858211 -94.684104 24.794889
13952 13680 2.020809 1.242654 9.404904 0.637492 -0.103997 -0.311436 63.920848 -7.324166 -89.327888 24.824842
14064 13680 1.932219 0.294502 12.586960 0.122961 -0.317053 -0.593735 66.947738 -7.502805 -85.353919 24.797885
14240 13680 1.486875 -0.457316 14.172002 -0.233908 -0.447017 -0.480816 65.701370 -1.250467 -91.401260 24.794889
14352 13680 2.514040 -1.793348 19.204870 -0.543904 -0.659008 -0.317828 56.620693 13.576504 -100.904228 24.794889
14272 13680 3.122198 -1.582648 19.391628 -0.255213 -0.683509 -0.112229 38.281288 25.187986 -103.495948 24.782909
14096 13680 2.229115 0.014366 11.820776 -0.255213 -0.098670 -0.022745 28.844505 28.939388 -100.558670 24.785903
13952 13680 1.905882 0.033521 3.349659 -0.017656 0.488299 -0.246454 29.556715 31.797599 -100.558670 24.788900
13904 13680 2.171652 -0.304079 5.102304 -0.004872 0.198543 -0.156970 37.569076 33.405345 -101.422569 24.773923
13952 13680 2.937835 -0.057464 10.748120 -0.214733 -0.190284 0.047563 36.322708 33.226707 -98.485290 24.770929
13840 13680 3.239520 0.093379 10.800795 -0.134837 -0.198807 -0.077074 32.049449 36.084918 -98.139732 24.761943
13776 13680 3.562754 -0.442950 10.398549 -0.079442 -0.266985 0.002822 28.844505 41.086788 -97.448608 24.770929
13776 13680 3.411911 -0.208306 7.544514 -0.267997 -0.034753 0.216943 25.639560 42.873168 -92.265167 24.758947
13744 13680 3.186845 -0.478865 7.324236 -0.199819 0.003597 0.497112 30.981134 47.517761 -86.390609 24.743972
13744 13680 2.602630 -0.193940 5.162162 -0.464008 0.190021 1.097930 45.225334 50.018695 -78.097106 24.749961
13808 13680 2.504462 0.299290 5.851727 0.682234 0.226240 0.991402 71.042945 37.692661 -72.740890 24.740976
13968 13680 1.592225 2.197989 5.890036 1.256420 -0.032623 0.367148 79.767517 13.933780 -75.678169 24.731990
14096 13680 0.981673 2.032781 9.821516 1.613289 -0.491759 -0.563908 77.452835 4.465955 -76.542076 24.746967
14496 13680 1.166036 -1.161247 18.761920 -0.415005 -0.599352 -0.608649 71.755157 11.611484 -86.563385 24.726001
14912 13680 0.624918 -2.952201 21.503421 -0.281845 -0.736773 -0.245389 63.564743 29.118026 -93.474639 24.723005
