sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
14352 13712 3.282618 0.284925 12.855124 0.385782 -0.057516 0.155466 39.705707 33.762619 -99.003639 23.003774
14448 13712 3.196422 1.422228 8.133518 -0.187339 -0.018100 -0.102332 41.308181 33.226707 -98.485290 22.991792
14336 13712 3.162902 -0.651256 10.386577 -0.044591 -0.051124 -0.057590 37.212970 34.119895 -99.349197 23.000778
14128 13712 3.210788 0.787732 10.111229 -0.152185 -0.044732 0.141617 36.856868 35.906280 -97.621383 22.994789
14016 13712 2.540377 2.090245 5.868487 2.285177 0.085232 0.117116 37.925182 20.900669 -102.459259 23.006769
13968 13712 3.189239 1.436594 0.062252 0.531725 -0.178958 -0.594492 40.952075 -16.434715 -90.882919 23.000778
14096 13712 3.045580 1.379130 8.559708 -0.735958 -0.186415 -0.997168 53.415748 -10.718293 -93.647415 22.991792
14512 13712 3.639372 -1.570676 17.002092 0.366607 -0.351533 -0.587035 50.032752 12.326037 -102.459259 22.994789
14912 13712 2.727135 0.744635 21.874542 0.028913 -0.661530 -0.028828 37.569076 9.467825 -103.841506 22.991792
15152 13712 2.925864 1.376736 19.269517 -0.317303 -0.517717 -0.375044 25.283454 10.718293 -101.595352 22.997783
15328 13712 1.393496 -0.055069 19.492189 0.297364 -0.289747 -0.246145 15.134463 8.395997 -97.966949 22.982807
15184 13712 2.523617 -0.282530 20.461891 -0.235277 -0.542219 -0.308997 9.080677 1.965020 -91.055702 22.997783
15120 13712 0.763789 -1.568282 2.523617 0.706431 0.452754 -0.246145 8.368468 0.178638 -88.291198 23.000778
15040 13712 0.476470 -1.867572 -1.874755 -1.418803 0.071383 -0.304736 17.627197 -9.825101 -92.783508 22.979812
15376 13712 0.541117 0.351966 5.902008 1.889958 -0.056451 -0.402741 24.393192 -5.895061 -95.548011 22.973821
15408 13712 1.965740 -0.548300 21.939188 -0.109573 -0.583764 -0.327106 28.488399 -24.652072 -74.295921 22.979812
15872 13712 0.648862 0.356754 24.704631 -0.166033 -0.740361 -0.321780 31.515293 -27.331645 -68.248580 22.982807
16224 13712 0.191546 -3.876410 28.674421 0.214272 -0.382426 -0.229101 41.308181 -28.939388 -62.892360 22.973821
16480 13712 -0.835619 -1.690392 19.983026 -0.122357 -0.678574 -0.434700 45.225334 -28.224836 -60.473426 22.979812
16896 13712 -0.450133 -0.196335 15.565499 1.147458 -0.468714 -0.363326 52.525485 -26.974369 -60.300643 22.976818
17216 13712 -1.544339 -1.561099 19.635848 0.066198 -0.233287 -0.306866 59.113430 -23.580242 -66.347984 22.967832
16112 13712 -0.636890 -1.314484 20.804279 -0.651801 -0.505999 -0.296213 56.620693 -17.863821 -79.133796 22.973821
16320 13712 -0.402246 -2.971356 18.663753 0.096026 -0.411189 -0.258928 56.442642 -8.753273 -90.019012 22.976818
15824 13712 -0.450133 -1.031954 12.488793 0.049153 -0.129955 -0.268516 54.840171 -9.289187 -92.610733 22.952856
15488 13712 -0.021549 -2.456576 2.269819 0.099222 0.248220 -0.302605 57.867061 -5.537785 -92.783508 22.955850
15440 13712 0.581821 -1.460537 17.018852 -0.184143 -0.239679 -0.179032 60.003692 -1.607744 -93.474639 22.958847
14960 13712 0.399852 0.090984 10.796006 1.394603 -0.256723 -0.093810 56.620693 -11.790122 -88.463981 22.964836
15536 13712 0.251404 -0.996039 13.920598 0.025717 -0.456996 -0.589165 58.223167 -15.184247 -83.798889 22.961841
15456 13712 0.864351 -1.228288 14.394675 -0.314107 -0.514521 -0.320715 60.537849 -7.145528 -89.846229 22.961841
15568 13712 0.926603 -0.067041 17.595884 -0.161772 -0.423972 -0.463462 53.237697 0.178638 -99.003639 22.946865
15536 13712 1.321667 -1.122938 15.010016 -0.271496 -0.469779 -0.400611 43.800914 11.075570 -103.323165 22.937879
15488 13712 -0.105350 -0.833225 12.187108 -0.804136 -0.495346 -0.201403 36.678813 11.790122 -105.742103 22.949861
15792 13712 0.691960 -3.112621 20.409215 -0.056309 -0.219439 -0.319649 28.844505 16.077438 -103.668731 22.949861
15984 13712 0.861956 -0.493231 25.212228 -0.090398 -0.303596 -0.232296 22.434614 15.720163 -101.595352 22.952856
15584 13712 0.634496 -3.349659 12.160771 -0.272561 -0.047928 -0.098071 14.066148 10.896931 -98.658073 22.946865
